Unnamed: 0,Scientific Name,Common Name,Order,Family,Role in Ecosystem
1236,Triorla interrupta,,Diptera,Asilidae,Unknown/Not Available
1237,Larinus carlinae,weevil beetle,Coleoptera,Curculionidae,Pest
1238,Lycaena arota,weevil beetle,Lepidoptera,Lycaenidae,Pollinator
1239,Callophrys gryneus,"juniper hairstreak, olive hairstreak",Lepidoptera,Lycaenidae,Pollinator
1240,Pyrisitia lisa,Little Yellow,Lepidoptera,Pieridae,Pollinator
1241,Creatonotos transiens,clouded tiger moth,Lepidoptera,Erebidae,Pollinator
1242,Idaea aversata,riband wave,Lepidoptera,Geometridae,Pest
1243,Alypia octomaculata,Eight-Spotted Forester,Lepidoptera,Noctuidae,Pollinator
1244,Phigalia strigataria,small phigalia moth,Lepidoptera,Geometridae,Pest
1245,Nehalennia irene,Sedge Sprite,Odonata,Coenagrionidae,Predator
1246,Camponotus niveosetosus, hairy sugar ant,Hymenoptera,Formicidae,Predator
1247,Ctenucha virginica,Virginia ctenucha,Lepidoptera,Erebidae,Pollinator
1248,Diplacodes bipunctata,Wandering Percher,Odonata,Libellulidae,Predator
1249,Sphinx kalmiae,Laurel sphinx,Lepidoptera,Sphingidae,Pollinator
1250,Lestes eurinus,amber-winged spreadwing,Odonata,Lestidae,Predator
1251,Choristoneura fumiferana,eastern spruce budworm,Lepidoptera,Tortricidae,Pest
1252,Enallagma basidens,Double-Striped Bluet,Odonata,Coenagrionidae,Predator
1253,Tessaratoma papillosa,Lychee Giant Stink Bug,Hemiptera,Tessaratomidae,Pest
1254,Cucullia convexipennis,brown hooded owlet,Lepidoptera,Noctuidae,Herbivore
1255,Jikradia olitoria,Coppery Leafhopper,Hemiptera,Cicadellidae,Pest
1256,Romalea microptera,"eastern lubber grasshopper, Florida lubber, Florida lubber grasshopper",Orthoptera,Romaleidae,Pest
1257,Perithemis intensa,mexican amberwing,Odonata,Libellulidae,Predator
1258,Gomphus vulgatissimus,common clubtail,Odonata,Gomphidae,Predator
1259,Colocasia propinquilinea,closebanded yellowhorn,Lepidoptera,Noctuidae,Pest
1260,Zygaena transalpina,,Lepidoptera,Zygaenidae,Pollinator
1261,Propylea quatuordecimpunctata,14-spotted ladybird beetle,Coleoptera,Coccinellidae,Predator
1262,Erebia euryale,Erebia Euryale,Lepidoptera,Nymphalidae,Unknown/Not Available
1263,Trimerotropis pallidipennis,Pallid-winged Grasshopper,Orthoptera,Acrididae,Pest
1264,Orthetrum coerulescens,The keeled skimmer,Odonata,Libellulidae,Predator
1265,Eurema daira,"fairy yellow, barred yellow, barred sulphur",Lepidoptera,Pieridae,Pollinator
1266,Phocides polybius,Guava Skipper,Lepidoptera,Hesperiidae,Pollinator
1267,Toxomerus occidentalis,Maize Calligrapher,Diptera,Syrphidae,Predator
1268,Sphinx ligustri,Privet Hawk-Moth,Lepidoptera,Sphingidae,Pollinator
1269,Anteos clorinde,White Angled-Sulphur ,Lepidoptera,Pieridae,Pollinator
1270,Rhyothemis graphiptera,"the graphic flutterer, banded flutterer",Odonata,Libellulidae,Unknown/Not Available
1271,Colias eurytheme,"orange sulfur, alfalfa butterfly",Lepidoptera,Pieridae,Pest
1272,Anisomorpha buprestoides,Southern Two-Striped Walingstick ,Phasmida,Pseudophasmatidae,Pest
1273,Polygonia c-album,"anglewing butterfly, comma butterfly",Lepidoptera,Nymphalidae,Pollinator
1274,Boloria selene,Silver Meadow Fritillary,Lepidoptera,Nymphalidae,Pollinator
1275,Aphomia sociella,"Bee Moth, Bumble Bee Wax Moth",Lepidoptera,Pyralidae,Pest
1276,Creatonotos gangis,,Lepidoptera,Erebidae,Pest
1277,Heliocypha perforata,Common Blue Jewel,Odonata,Chlorocyphidae,Unknown/Not Available
1278,Macrurocampa marthesia,mottled prominent moth,Lepidoptera,Notodontidae,Pest
1279,Stictoleptura canadensis,Red-shouldered Pine Borer,Coleoptera,Cerambycidae,Pest
1280,Halmus chalybeus,steel blue lady beetle,Coleoptera,Coccinellidae,Predator
1281,Eulithis explanata,"white eulithis,",Lepidoptera,Geometridae,Unknown/Not Available
1282,Cupido minimus,small blue,Lepidoptera,Lycaenidae,Pollinator
1283,Erebia medusa,Woodland Ringlet,Lepidoptera,Nymphalidae,Pollinator
1284,Aedes vexans,"Inland Floodwater Mosquito, Tomguito",Diptera,Culicidae,Pest
1285,Lasiommata maera,large wall brown butterfly,Lepidoptera,Nymphalidae,Pollinator
1286,Vespa crabro,European Hornet,Hymenoptera,Vespidae,"Predator, pollinator"
1287,Flatormenis proxima,"northern flatid planthopper, mealy flatid planthopper",Hemiptera,Flatidae,Pest
1288,Amphibolips quercuspomiformis,"Live Oak Gallfly, Apple Gall Wasp",Hymenoptera,Cynipidae,Pest
1289,Clytus arietis,wasp beetle,Coleoptera,Cerambycidae,Decomposer
1290,Udea ferrugalis,Rusty Dot Pearl,Lepidoptera,Crambidae,Pest
1291,Daphnis nerii,Oleander hawk-moth,Lepidoptera,Sphingidae,Pollinator
1292,Ixias pyrene,Yellow orange tip,Lepidoptera,Pieridae,Pollinator
1293,Gomphurus externus,plains clubtail,Odonata,Gomphidae,Predator
1294,Nematocampa resistaria,"Horned Spanworm Moth, Filament Bearer, Bordered Thorn Moth",Lepidoptera,Geometridae,Pest
1295,Bombus pensylvanicus,American bumble bee,Hymenoptera,Apidae,Pollinator
1296,Caria ino,red-bordered metalmark,Lepidoptera,Riodinidae,Pollinator
1297,Callopistria mollissima, pink-shaded fern moth,Lepidoptera,Noctuidae,Pest
1298,Hellula hydralis,cabbage centre grub,Lepidoptera,Crambidae,Pest
1299,Malacosoma californica,western tent caterpillar,Lepidoptera,Lasiocampidae,Pest
1300,Sphrageidus similis,gold-tail moth,Lepidoptera,Erebidae,Pest
1301,Phanaeus vindex,rainbow scarab,Coleoptera,Scarabaeidae,Decomposer
1302,Eilema lurideola,Common Footman,Lepidoptera,Erebidae,Decomposer
1303,Sphex ichneumoneus,"the great golden digger wasp, great golden sand digger",Hymenoptera,Sphecidae,Predator
1304,Pogonomyrmex californicus,California harvester ant,Hymenoptera,Formicidae,Predator
1305,Phanogomphus lividus,ashy clubtail,Odonata,Gomphidae,Predator
1306,Cetonia aurata,"rose chafer, green rose chafer",Coleoptera,Scarabaeidae,Pollinator
1307,Monobia quadridens,Four-Toothed Mason Wasp,Hymenoptera,Vespidae,Predator
1308,Bleptina caradrinalis,"bent-winged owlet, variable snout moth",Lepidoptera,Erebidae,Pest
1309,Erythrodiplax berenice,Seaside Dragonlet,Odonata,Libellulidae,Predator
1310,Anthanassa tulcis,Pale-banded Crescent ,Lepidoptera,Nymphalidae,Pollinator
1311,Miomantis caffra,"South African Mantis, Springbok Mantis",Mantodea,Miomantidae,Predator
1312,Apatelodes torrefacta,Spotted Apatelodes,Lepidoptera,Apatelodidae,Pollinator
1313,Polygonia satyrus,the satyr comma,Lepidoptera,Nymphalidae,Pollinator
1314,Helicoverpa zea,corn earworm,Lepidoptera,Noctuidae,Pest
1315,Euthyrhynchus floridanus,Florida predatory stink bug,Hemiptera,Pentatomidae,Predator
1316,Nyctemera adversata,Marbled White Moth,Lepidoptera,Erebidae,Herbivore
1317,Leuconycta lepidula,marbled-green leuconycta moth,Lepidoptera,Noctuidae,Pest
1318,Craniophora ligustri,coronet moth,Lepidoptera,Noctuidae,Pest
1319,Lon zabulon,zabulon skipper,Lepidoptera,Hesperiidae,Pollinator
1320,Laphria macquarti,bumblebee mimic robber fly,Diptera,Asilidae,Predator
1321,Lophocampa argentata,silver-spotted tiger moth,Lepidoptera,Erebidae,Pollinator
1322,Poanes viator,Broad-winged Skipper,Lepidoptera,Hesperiidae,Pollinator
1323,Sphex nudus,katydid wasp,Hymenoptera,Sphecidae,Predator
1324,Calopteryx splendens,banded demoiselle,Odonata,Calopterygidae,Unknown/Not Available
1325,Galgula partita,The Wedgling Moth,Lepidoptera,Noctuidae,Pollinator
1326,Junonia oenone,Blue pansy,Lepidoptera,Nymphalidae,Pollinator
1327,Orvasca subnotata,nygmiine tussock moth,Lepidoptera,Erebidae,Pest
1328,Anoplolepis gracilipes,Yellow Crazy Ant,Hymenoptera,Formicidae,Unknown/Not Available
1329,Nymphalis polychloros,"Large Tortoiseshell, Blackleg Tortoiseshell",Lepidoptera,Nymphalidae,Pollinator
1330,Orgyia vetusta,Western tussock moth,Lepidoptera,Erebidae,Pest
1331,Forficula auricularia,European earwig,Dermaptera,Forficulidae,"Pest, predator, decomposer"
1332,Sparganothoides lentiginosana,lentiginos moth,Lepidoptera,Tortricidae,Pest
1333,Orgyia detrita,fir tussock moth,Lepidoptera,Erebidae,Pest
1334,Parapediasia teterrellus,bluegrass webworm moth,Lepidoptera,Crambidae,Pest
1335,Abaeis nicippe,Sleepy Orange ,Lepidoptera,Pieridae,Pollinator
1336,Megatibicen auletes,Northern Dusk Singing Cicada,Hemiptera,Cicadidae,Unknown/Not Available
1337,Toxomerus geminatus,Eastern Calligrapher,Diptera,Syrphidae,Pollinator
1338,Speyeria cybele,Great Spangled Fritillary,Lepidoptera,Nymphalidae,Pollinator
1339,Eutrapela clemataria,Curve-toothed geometer moth,Lepidoptera,Geometridae,Pest
1340,Helophilus trivittatus,The Footballer,Diptera,Syrphidae,Pollinator
1341,Aspidimorpha miliaris,Tortoiseshell Beetle,Coleoptera,Chrysomelidae,Pest
1342,Nemoria bistriaria,Two-Striped Emerald,Lepidoptera,Geometridae,Unknown/Not Available
1343,Papilio protenor,Spangle Butterfly,Lepidoptera,Papilionidae,Pollinator
1344,Andricus quercuscalifornicus,California Gall Wasp,Hymenoptera,Cynipidae,Pest
1345,Cypherotylus californicus,blue fungus beetle,Coleoptera,Erotylidae,Decomposer
1346,Peridea basitriens,oval-based prominent moth,Lepidoptera,Notodontidae,Pest
1347,Lethe anthedon,northern pearly-eye butterfly,Lepidoptera,Nymphalidae,Pollinator
1348,Graphosoma italicum,"Striped bug, Italian striped bug,Minstrel bug",Hemiptera,Pentatomidae,Herbivore
1349,Baileya doubledayi,"
Doubleday's Baileya",Lepidoptera,Nolidae,Pollinator
1350,Crocallis elinguaria,scalloped oak,Lepidoptera,Geometridae,Pest
1351,Apoda biguttata,Shegreened Slug Moth,Lepidoptera,Limacodidae,Pest
1352,Lerodea eufala,eufala skipper,Lepidoptera,Hesperiidae,Pest
1353,Neoclytus acuminatus,Red-Headed Ash Borer,Coleoptera,Cerambycidae,Pest
1354,Cosmodes elegans,green blotched moth,Lepidoptera,Noctuidae,Pest
1355,Callosamia promethea,"promethea silkmoth,spicebush silkmoth",Lepidoptera,Saturniidae,Pollinator
1356,Leptotes pirithous,"common zebra blue, Lang's short-tailed blue butterfly",Lepidoptera,Lycaenidae,Pollinator
1357,Xestia c-nigrum,Setaceous Hebrew character,Lepidoptera,Noctuidae,Pest
1358,Endrosis sarcitrella,White-Shouldered House Moth,Lepidoptera,Oecophoridae,Pest
1359,Macaria pustularia,lesser maple spanworm moth,Lepidoptera,Geometridae,Pest
1360,Lycaena gorgon,lesser maple spanworm moth,Lepidoptera,Lycaenidae,Pollinator
1361,Baileya ophthalmica,the eyed baileya,Lepidoptera,Nolidae,Pollinator
1362,Hemaris fuciformis,broad-bordered bee hawk-moth,Lepidoptera,Sphingidae,Pollinator
1363,Polygonia interrogationis,The question mark,Lepidoptera,Nymphalidae,Pollinator
1364,Empusa pennata,Conehead Mantis,Mantodea,Empusidae,Predator
1365,Mythimna unipuncta,"Armyworm Moth, True Armyworm Moth",Lepidoptera,Noctuidae,Pest
1366,Graphocephala atropunctata,The blue-green sharpshooter,Hemiptera,Cicadellidae,Pest
1367,Milionia zonea,,Lepidoptera,Geometridae,Pollinator
1368,Endotricha mesenterialis,,Lepidoptera,Pyralidae,Pest
1369,Elaphria chalcedonia,Chalcedony Midget Moth,Lepidoptera,Noctuidae,Pollinator
1370,Spragueia guttata,Spotted Spraguelum,Lepidoptera,Noctuidae,Pest
1371,Cicindela hirticollis,,Coleoptera,Carabidae,Predator
1372,Samea baccatalis,,Lepidoptera,Crambidae,Pest
1373,Cicindela trifasciata,S-banded tiger beetle,Coleoptera,Carabidae,Predator
1374,Orthetrum testaceum,	Scarlet Skimmer,Odonata,Libellulidae,Predator
1375,Reduvius personatus,the masked hunter,Hemiptera,Reduviidae,Predator
1376,Theretra nessus,Yam Hawk Moth,Lepidoptera,Sphingidae,Pollinator
1377,Evergestis pallidata,Purple-backed Cabbageworm,Lepidoptera,Crambidae,Pest
1378,Pyrgus malvae,grizzled skipper,Lepidoptera,Hesperiidae,Pollinator
1379,Lacinipolia laudabilis,laudable arches moth,Lepidoptera,Noctuidae,Pest
1380,Lateroligia ophiogramma,double lobed moth,Lepidoptera,Noctuidae,Pest
1381,Cotesia congregata,Parasitoid wasp,Hymenoptera,Braconidae,Parasitoid
1382,Mycalesis mucianus,South China Bushbrown,Lepidoptera,Nymphalidae,Pollinator
1383,Sympetrum danae,"Black Darter, Black Meadowhawk",Odonata,Libellulidae,Predator
1384,Apamea monoglypha,Dark Arches,Lepidoptera,Noctuidae,Pest
1385,Catopsilia pyranthe,"
White Migrant, Common Migrant",Lepidoptera,Pieridae,Pollinator
1386,Choephora fungorum,Bent-line dart,Lepidoptera,Noctuidae,Pest
1387,Phalaenophana pyramusalis,dark-banded owlet moth,Lepidoptera,Erebidae,Pest
1388,Mormidea lugens,,Hemiptera,Pentatomidae,Pest
1389,Anthocharis midea,Falcate Orangetip,Lepidoptera,Pieridae,Pollinator
1390,Oecanthus nigricornis,"common tree cricket,black-horned tree cricket",Orthoptera,Gryllidae,Unknown/Not Available
1391,Dythemis velox,Swift Setwing,Odonata,Libellulidae,Predator
1392,Ascia monuste,"Great Southern White, Pirpinto Butterfly",Lepidoptera,Pieridae,Pollinator
1393,Trichiotinus assimilis,"Hairy Flower Scarab, Flower Chafer",Coleoptera,Scarabaeidae,Pollinator
1394,Maruca vitrata,Bean Pod Borer,Lepidoptera,Crambidae,Pest
1395,Echinargus isola,Reakirt's Blue,Lepidoptera,Lycaenidae,Pollinator
1396,Archips argyrospila,Fruit-Tree Leafroller Moth,Lepidoptera,Tortricidae,Pest
1397,Achyra rantalis,Garden Webworm ,Lepidoptera,Crambidae,Pest
1398,Thysanoplusia orichalcea,Slender Burnished Brass,Lepidoptera,Noctuidae,Pest
1399,Apamea sordens,"Rustic Shoulder-Knot, Bordered Apaea",Lepidoptera,Noctuidae,Pest
1400,Chelinidea vittiger,Cactus Coreid,Hemiptera,Coreidae,Pest
1401,Orientus ishidae,"Japanese leafhopper, Mosaic leafhopper",Hemiptera,Cicadellidae,Pest
1402,Xerociris wilsonii,Wilson's Wood-Nymph,Lepidoptera,Noctuidae,Pollinator
1403,Apamea amputatrix,Yellow-Headed Cutworm ,Lepidoptera,Noctuidae,Pest
1404,Ptecticus trivittatus,"Yellow Soldier Fly, Compost Fly",Diptera,Stratiomyidae,Decomposer
1405,Marpesia chiron,Many-banded Daggerwing,Lepidoptera,Nymphalidae,Pollinator
1406,Clytra laeviuscula,Ant bag beetle,Coleoptera,Chrysomelidae,Decomposer
1407,Parasa chloris,smaller parasa,Lepidoptera,Limacodidae,Pest
1408,Agrotis porphyricollis,Variable Cutworm,Lepidoptera,Noctuidae,Pest
1409,Dorocordulia libera,Racket-Tailed Emerald,Odonata,Corduliidae,Predator
1410,Idaea seriata,Small dusty wave,Lepidoptera,Geometridae,Unknown/Not Available
1411,Scudderia mexicana,Mexican bush katydid,Orthoptera,Tettigoniidae,Predator
1412,Agriocnemis pygmaea,"Wandering Midget, Pygmy Dartlet, 
Wandering Wisp",Odonata,Coenagrionidae,Predator
1413,Ophraella communa,ragweed leaf beetle,Coleoptera,Chrysomelidae,Pest
1414,Libellago lineata,river heliodor,Odonata,Chlorocyphidae,Predator
1415,Gymnandrosoma punctidiscanum,dotted ecdytolopha moth,Lepidoptera,Tortricidae,Pest
1416,Rhyothemis phyllis,Yellow-barred Flutterer,Odonata,Libellulidae,Predator
1417,Chytolita morbidalis,Morbid owlet moth,Lepidoptera,Erebidae,Pest
1418,Chlosyne theona,Theona checkerspot,Lepidoptera,Nymphalidae,Pollinator
1419,Chrysochus auratus,Dogbane beetle,Coleoptera,Chrysomelidae,Pest
1420,Sigilliclystis insigillata,Insigillated Pug,Lepidoptera,Geometridae,Pollinator
1421,Eupeodes corollae,Vagrant Hoverfly,Diptera,Syrphidae,Pollinator
1422,Notocrypta curvifascia,Restricted Demon,Lepidoptera,Hesperiidae,Pollinator
1423,Sympetrum sanguineum,Ruddy Darter,Odonata,Libellulidae,Predator
1424,Ischnura posita,Fragile Forktail,Odonata,Coenagrionidae,Predator
1425,Argia tibialis,Blue-Tipped Dancer,Odonata,Coenagrionidae,Predator
1426,Melanargia galathea,Marbled White,Lepidoptera,Nymphalidae,Pollinator
1427,Tessellana tessellata,Brown -spotted Bush-cricket,Orthoptera,Tettigoniidae,Predator
1428,Danaus chrysippus,"Plain tiger, african queen, african monarch",Lepidoptera,Nymphalidae,Pollinator
1429,Exochomus quadripustulatus,"Pine ladybird, pine lady beetle",Coleoptera,Coccinellidae,Predator
1430,Zerynthia polyxena,Southern Festoon,Lepidoptera,Papilionidae,Pollinator
1431,Ancistrocerus antilope,Eumenid Solitary Wasp,Hymenoptera,Vespidae,Predator
1432,Lycaena tityrus,sooty copper,Lepidoptera,Lycaenidae,Pollinator
1433,Ischnura cervula,Pacific Forktail,Odonata,Coenagrionidae,Predator
1434,Lacanobia oleracea,bright-line brown-eye moth,Lepidoptera,Noctuidae,Pest
1435,Osmoderma scabra,Rough hermit beetle,Coleoptera,Scarabaeidae,Decomposer
1436,Mythimna albipuncta,White-Point Moth,Lepidoptera,Noctuidae,Pest
1437,Lucilia sericata,common green bottle fly,Diptera,Calliphoridae,Decomposer
1438,Rhaphigaster nebulosa,mottled shieldbug,Hemiptera,Pentatomidae,Pest
1439,Lucidota atra,black firefly,Coleoptera,Lampyridae,Unknown/Not Available
1440,Pseudomops septentrionalis,palebordered field cockroach,Blattodea,Ectobiidae,Decomposer
1441,Picromerus bidens," the spiny shieldbug, spiked shieldbug",Hemiptera,Pentatomidae,Predator
1442,Manduca quinquemaculata," the spiny shieldbug, spiked shieldbug",Lepidoptera,Sphingidae,Pest
1443,Chioides albofasciatus,White-striped longtail,Lepidoptera,Hesperiidae,Pollinator
1444,Anacridium aegyptium,Egyptian Grasshopper ,Orthoptera,Acrididae,Pest
1445,Agrotis munda,"Brown Cutworm, Pink Cutworm",Lepidoptera,Noctuidae,Pest
1446,Sunira bicolorago,"Bicolored Sallow, Shield-backed Cutworm",Lepidoptera,Noctuidae,Pest
1447,Lycomorpha pholus,Black-and-yellow lichen moth,Lepidoptera,Erebidae,Pollinator
1448,Anania funebris,White-Spotted Sable Moth,Lepidoptera,Crambidae,Pest
1449,Idaea biselata,Small fan-footed wave,Lepidoptera,Geometridae,Unknown/Not Available
1450,Ponometia erastrioides,small bird-dropping moth or small bird lime moth,Lepidoptera,Noctuidae,Pest
1451,Delphinia picta,Picture-Winged Fly,Diptera,Ulidiidae,Decomposer
1452,Dryas iulia,"Julia Butterfly, Julia Heliconian, The Flame, 
Flambeau",Lepidoptera,Nymphalidae,Pollinator
1453,Argia plana,Springwater Dancer,Odonata,Coenagrionidae,Predator
1454,Hypomecis punctinalis,the pale oak beauty,Lepidoptera,Geometridae,Unknown/Not Available
1455,Agrotis puta,Shuttle-Shaped Dart,Lepidoptera,Noctuidae,Pest
1456,Utetheisa ornatrix,Bella Moth,Lepidoptera,Erebidae,Pollinator
1457,Ennomos magnaria,Maple Spanworm Moth,Lepidoptera,Geometridae,Pest
1458,Scathophaga stercoraria,"yellow dung fly, the golden dung fly",Diptera,Scathophagidae,Predator
1459,Prosapia bicincta,Twolined spittlebug,Hemiptera,Cercopidae,Pest
1460,Anteos maerula,"Angled Sulphur, Yellow Angled-Sulphur ",Lepidoptera,Pieridae,Pollinator
1461,Agraulis vanillae,"Angled Sulphur, Yellow Angled-Sulphur ",Lepidoptera,Nymphalidae,Pollinator
1462,Hyalymenus tarsatus,Texas bow-legged bug,Hemiptera,Alydidae,Predator
1463,Bombus citrinus,lemon cuckoo bumblebee,Hymenoptera,Apidae,Pollinator
1464,Hesperotettix viridis,"snakeweed grasshopper, meadow purple-striped grasshopper",Orthoptera,Acrididae,Pest
1465,Rhyothemis variegata,"the common picture wing, variegated flutterer,",Odonata,Libellulidae,Predator
1466,Parantica aglea,glassy tiger butterfly,Lepidoptera,Nymphalidae,Pollinator
1467,Bombus flavifrons,"yellow-fronted bumble bee,yellowhead bumblebee",Hymenoptera,Apidae,Pollinator
1468,Epitheca cynosura,Common Baskettail,Odonata,Corduliidae,Predator
1469,Asterocampa clyton,Tawny Emperor ,Lepidoptera,Nymphalidae,Pollinator
1470,Caligo telamonius,"giant owl, pale owl",Lepidoptera,Nymphalidae,Pollinator
1471,Proxys punctulatus,the black stink bug,Hemiptera,Pentatomidae,Pest
1472,Melanolophia imitata,"Western Carpet, Green striped forest looper",Lepidoptera,Geometridae,Pest
1473,Stictoleptura rubra,Red-brown Longhorn Beetle,Coleoptera,Cerambycidae,Decomposer
1474,Amphibolips quercusjuglans,Acron Plum Gall Wasp,Hymenoptera,Cynipidae,Pest
1475,Euchrysops cnejus,the gram blue,Lepidoptera,Lycaenidae,Pollinator
1476,Apogeshna stenialis,Checkered Apogeshna Moth,Lepidoptera,Crambidae,Pest
1477,Neotibicen canicularis,Dog-Day Cicada,Hemiptera,Cicadidae,Decomposer
1478,Adelpha californica,California Sister Butterfly,Lepidoptera,Nymphalidae,Pollinator
1479,Maliattha synochitis,Black-dotted maliattha,Lepidoptera,Noctuidae,Unknown/Not Available
1480,Hermetia illucens,black soldier fly,Diptera,Stratiomyidae,Decomposer
1481,Euchromius ocellea,necklace veneer,Lepidoptera,Crambidae,Pest
1482,Tegosa claudina,,Lepidoptera,Nymphalidae,Pollinator
1483,Leucorrhinia frigida,frosted whiteface,Odonata,Libellulidae,Predator
1484,Cantharis rustica,Sailor Beetle,Coleoptera,Cantharidae,Predator
1485,Trimerotropis maritima,"Seaside Grasshopper, Seaside Locust",Orthoptera,Acrididae,Herbivore
1486,Sabulodes aegrotata,omnivorous looper,Lepidoptera,Geometridae,Pest
1487,Libellula comanche,comanche skimmer,Odonata,Libellulidae,Predator
1488,Papilio canadensis,Canadian tiger swallowtail,Lepidoptera,Papilionidae,Pollinator
1489,Pseudoips prasinana,the green silver-lines,Lepidoptera,Nolidae,Pest
1490,Elaphria versicolor,Variegated Midget Moth ,Lepidoptera,Noctuidae,Pest
1491,Sphex pensylvanicus,"the great black wasp, spider rabbit",Hymenoptera,Sphecidae,Predator
1492,Gastrophysa viridula,"green dock beetle, green dock leaf beetle, green sorrel beetle",Coleoptera,Chrysomelidae,Pest
1493,Sympetrum internum,Cherry-faced Meadowhawk,Odonata,Libellulidae,Predator
1494,Pelidnota punctata,"grapevine beetle, spotted june beetle, spotted pelidnota",Coleoptera,Scarabaeidae,Pest
1495,Phigalia titea,"the spiny looper, half-wing moth",Lepidoptera,Geometridae,Pest
1496,Hamadryas amphinome,Red Cracker,Lepidoptera,Nymphalidae,Pollinator
1497,Cynips douglasii,spined turbaned gall wasp,Hymenoptera,Cynipidae,Pest
1498,Prionoplus reticularis,The huhu beetle,Coleoptera,Cerambycidae,Decomposer
1499,Battus polydamas,"gold rim swallowtail,Polydamas swallowtail, tailless swallowtail",Lepidoptera,Papilionidae,Pollinator
1500,Spoladea recurvalis,"Beet Webworm Moth, Hawaiian Beet Webworm",Lepidoptera,Crambidae,Pest
1501,Ponometia candefacta, the olive-shaded bird-dropping moth,Lepidoptera,Noctuidae,Pest
1502,Mestra amymone,,Lepidoptera,Nymphalidae,Pollinator
1503,Carabus granulatus,Ground beetle,Coleoptera,Carabidae,Predator
1504,Anabrus simplex,Mormon Cricket ,Orthoptera,Tettigoniidae,Pest
1505,Pachliopta aristolochiae,the common rose,Lepidoptera,Papilionidae,Pollinator
1506,Erynnis baptisiae,wild indigo duskywing,Lepidoptera,Hesperiidae,Pollinator
1507,Tetracha carolina,Carolina Metallic Tiger Beetle,Coleoptera,Carabidae,Predator
1508,Ancistrocerus adiabatus,Potter Wasp,Hymenoptera,Vespidae,Predator
1509,Plectrodera scalator,Cottonwood borer,Coleoptera,Cerambycidae,Pest
1510,Cabera pusaria,The common white wave,Lepidoptera,Geometridae,Unknown/Not Available
1511,Pseudeustrotia carneola, the pink-barred lithacodia moth,Lepidoptera,Noctuidae,Pest
1512,Eurois occulta,"the great brocade, great gray dart",Lepidoptera,Noctuidae,Pest
1513,Minois dryas,The Dryad Butterfly,Lepidoptera,Nymphalidae,Pollinator
1514,Leptoglossus oppositus,magnolia leaf footed bug,Hemiptera,Coreidae,Pest
1515,Danaus genutia,common tiger,Lepidoptera,Nymphalidae,Pollinator
1516,Marathyssa inficita,Dark Marathyssa,Lepidoptera,Euteliidae,Decomposer
1517,Zerynthia rumina,Spanish Festoon,Lepidoptera,Papilionidae,Pollinator
1518,Anthophora californica,Anthophorine Bee,Hymenoptera,Apidae,Pollinator
1519,Lycaena helloides,Anthophorine Bee,Lepidoptera,Lycaenidae,Pollinator
1520,Satyrium spini,Blue spot hairstreak,Lepidoptera,Lycaenidae,Pollinator
1521,Spilomyia longicornis," flower fly, hoverfly",Diptera,Syrphidae,Pollinator
1522,Lucanus elaphus,giant stag beetle,Coleoptera,Lucanidae,Decomposer
1523,Myodocha serripes,Long-Necked Seed Bug,Hemiptera,Rhyparochromidae,Pest
1524,Blepharomastix ranalis,hollow-spotted blepharomastix moth,Lepidoptera,Crambidae,Pest
1525,Bombylius major," large bee-fly, the dark-edged bee-fly or the greater bee fly",Diptera,Bombyliidae,Pollinator
1526,Valgus hemipterus,,Coleoptera,Scarabaeidae,Decomposer
1527,Vanessa atalanta,Red Admiral,Lepidoptera,Nymphalidae,Pollinator
1528,Aiolopus strepens,Grasshopper,Orthoptera,Acrididae,Herbivore
1529,Eumorpha achemon,Achemon sphinx,Lepidoptera,Sphingidae,Pollinator
1530,Cerastipsocus venosus,Barklice,Psocodea,Psocidae,Decomposer
1531,Synanthedon acerni,Maple Callus Borer,Lepidoptera,Sesiidae,Pest
1532,Xenocatantops humilis,Grasshopper,Orthoptera,Acrididae,Pest
1533,Enallagma ebrium,Marsh Bluet,Odonata,Coenagrionidae,Unknown/Not Available
1534,Dysschema howardi,Northern Giant Flag Moth,Lepidoptera,Erebidae,Pollinator
1535,Arhodia lasiocamparia,Pink Arhodia,Lepidoptera,Geometridae,Unknown/Not Available
1536,Phymata americana,	Jagged Ambush Bug,Hemiptera,Reduviidae,Predator
1537,Pseudoleon superbus, the filigree skimmer,Odonata,Libellulidae,Predator
1538,Argia vivida,Vivid Dancer,Odonata,Coenagrionidae,Predator
1539,Limenitis reducta,southern white admiral,Lepidoptera,Nymphalidae,Pollinator
1540,Idia lubricalis,glossy black idia,Lepidoptera,Erebidae,Decomposer
1541,Aeshna canadensis,Canada Darner,Odonata,Aeshnidae,Predator
1542,Lambdina fiscellaria,"hemlock looper, mournful thorn",Lepidoptera,Geometridae,Pest
1543,Harmonia axyridis,"the harlequin, multicoloured Asian, Asian ladybeetle,",Coleoptera,Coccinellidae,"Predator, invasive species"
1544,Cisthene plumbea,Lead colored lichen moth,Lepidoptera,Erebidae,Pollinator
1545,Junonia terea,Soldier pansy,Lepidoptera,Nymphalidae,Pollinator
1546,Lapara bombycoides,northern pine sphinx moth,Lepidoptera,Sphingidae,Pollinator
1547,Dysstroma hersiliata,Orange-Barred Carpet Moth,Lepidoptera,Geometridae,Pest
1548,Melanis pixe,Red-borered pixie,Lepidoptera,Riodinidae,Pollinator
1549,Texola elada,Elada Checkerspot,Lepidoptera,Nymphalidae,Pollinator
